"Date","Open","High","Low","Close","Adj.Close","Volume","Stock","Title","Year","Genre","Runtime","Director","Writer","Actors","Rated","IMDB.Rating","Metascore","IMDB.Votes","Awards","Box.Office","Country","Language","Description"
"1996-08-23",670.68,670.68,664.93,667.03,667.03,308010000,"^SPX","The Island of Dr. Moreau","1996","Horror, Sci-Fi, Thriller","96 min","John Frankenheimer, Richard Stanley","H.G. Wells, Richard Stanley, Ron Hutchinson","David Thewlis, Marlon Brando, Val Kilmer","PG-13",4.6,37,"36,133","2 wins & 10 nominations","$27,663,982","United States","English, Indonesian","Set in the year 2010, Dr. Moreau has successfully combined human and animal DNA to make a crossbreed animal. Well, as usual, something goes wrong and David Thewlis must try to stop it before it is too late. Originally rated R, but cut by Frankenheimer to allow ""a wider audience""."
"1996-08-30",657.4,657.71,650.52,651.99,651.99,258380000,"^SPX","Emma","1996","Comedy, Drama, Romance","120 min","Douglas McGrath","Jane Austen, Douglas McGrath","Gwyneth Paltrow, James Cosmo, Greta Scacchi","PG",6.6,66,"42,513","Won 1 Oscar. 3 wins & 7 nominations total","$22,231,658","United Kingdom, United States","English","Emma Woodhouse is a congenial young lady who delights in meddling in other people's affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightly."
"1996-09-20",683,687.07,683,687.03,687.03,519420000,"^SPX","Big Night","1996","Drama, Romance","109 min","Campbell Scott, Stanley Tucci","Stanley Tucci, Joseph Tropiano","Tony Shalhoub, Stanley Tucci, Marc Anthony","R",7.3,80,"23,831","9 wins & 17 nominations total","$12,008,376","United States","English, Italian","New Jersey, 1950s. Two brothers run an Italian restaurant. Business is not going well as a rival Italian restaurant is out-competing them. In a final effort to save the restaurant, the brothers plan to put on an evening of incredi..."
"1996-10-04",692.78,701.74,692.78,701.46,701.46,463940000,"^SPX","Bound","1996","Crime, Thriller","109 min","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Jennifer Tilly, Gina Gershon, Joe Pantoliano","R",7.3,64,"63,142","8 wins & 13 nominations total","$3,802,260","United States","English, Italian","Corky, a lesbian ex con hired to work in an apartment as a plumber, meets neighbors Caesar, who launders money for the Mafia, and his girlfriend Violet. The two women have a love affair and decide to steal $2,000,000 that Caesar has in custody before he gives them back to Mafia boss Gino Marzone. Caesar is set up by the two scheming women as a scapegoat but things start to go wrong when he reacts in an unexpected way..."
"1996-10-04",692.78,701.74,692.78,701.46,701.46,463940000,"^SPX","That Thing You Do!","1996","Comedy, Drama, Music","108 min","Tom Hanks","Tom Hanks","Tom Hanks, Liv Tyler, Charlize Theron","PG",7,71,"75,183","Nominated for 1 Oscar. 3 wins & 8 nominations total","$25,857,416","United States","English","Recounts a fable of a pop rock band formed a year after the Beatles took America by storm in early 1964. Jazz aficionado Guy Patterson, unhappily toiling in the family appliance store, is recruited into the band the Oneders (later renamed the Wonders) after regular drummer Chad breaks his arm. After Guy injects a four/four rock beat into lead singer Jimmy's ballad, the song's undeniable pop power flings the Wonders into a brief whirlwind of success, telling the tale of many American bands who attempted to grab the brass ring of rock and roll in the wake of the British Invasion."
"1996-10-11",694.61,700.67,694.61,700.66,700.66,396050000,"^SPX","The Long Kiss Goodnight","1996","Action, Crime, Drama","121 min","Renny Harlin","Shane Black","Geena Davis, Samuel L. Jackson, Yvonne Zima","R",6.8,43,"88,373","3 nominations total","$33,447,612","United States","English, Spanish","Samantha Caine, suburban homemaker, is the ideal mom to her 8 year old daughter Caitlin. She lives in Honesdale, PA, has a job teaching school and makes the best Rice Krispie treats in town. But when she receives a bump on her head, she begins to remember small parts of her previous life as a lethal, top-secret agent. Her old chums in the Chapter are now out to kill her so she enlists the help of a cheap detective named Mitch. As Samantha remembers more and more of her previous life, she becomes deadlier and more resourceful. Both Mitch and Charly proceed to do the killing thing, the bleeding thing and the shooting thing."
"1996-10-25",702.29,704.11,700.53,700.92,700.92,367640000,"^SPX","Thinner","1996","Fantasy, Horror","93 min","Tom Holland","Stephen King, Michael McDowell, Tom Holland","Robert John Burke, Joe Mantegna, Lucinda Jenney","R",5.8,33,"34,697","2 nominations total","$15,315,484","United States","English","A fat Lawyer finds himself growing ""Thinner"" when an old gypsy man places a hex on him. Now the lawyer must call upon his friends in organized crime to help him persuade the gypsy to lift the curse. Time is running out for the desperate lawyer as he draws closer to his own death, and grows ever thinner."
"1996-11-13",729.56,732.11,728.03,731.13,731.13,429840000,"^SPX","Breaking the Waves","1996","Drama","159 min","Lars von Trier","Lars von Trier, Peter Asmussen, David Pirie","Emily Watson, Stellan Skarsgård, Katrin Cartlidge","R",7.8,82,"73,011","Nominated for 1 Oscar. 44 wins & 28 nominations total","$3,803,298","Denmark, Sweden, France, Netherlands, Norway, Iceland, United Kingdom, Finland, Italy, Belgium, Germany, Switzerland, United States","English","Drama set in a repressed, deeply religious community in the north of Scotland, where a naive young woman named Bess McNeil meets and falls in love with Danish oil-rig worker Jan. Bess and Jan are deeply in love but, when Jan returns to his rig, Bess prays to God that he returns for good. Jan does return, his neck broken in an accident aboard the rig. Because of his condition, Jan and Bess are now unable to enjoy a sexual relationship and Jan urges Bess to take another lover and tell him the details. As Bess becomes more and more deviant in her sexual behavior, the more she comes to believe that her actions are guided by God and are helping Jan recover."
"1996-11-15",735.88,741.92,735.15,737.62,737.62,529100000,"^SPX","Space Jam","1996","Animation, Adventure, Comedy","88 min","Joe Pytka","Leo Benvenuti, Steve Rudnick, Timothy Harris","Michael Jordan, Wayne Knight, Theresa Randle","PG",6.5,57,"219,813","5 wins & 8 nominations total","$90,594,962","United States","English","Swackhammer, owner of the amusement park planet Moron Mountain is desperate get new attractions and he decides that the Looney Tune characters would be perfect. He sends his diminutive underlings to get them to him, whether Bugs Bunny and Co. want to go or not. Well armed for their size, Bugs Bunny is forced to trick them into agreeing to a competition to determine their freedom. Taking advantage of their puny and stubby legged foes, the gang selects basketball for the surest chance of winning. However, the Nerdlucks turn the tables and steal the talents of leading professional basketball stars to become massive basketball bruisers known as the Monstars. In desperation, Bugs Bunny calls on the aid of Michael Jordan, the Babe Ruth of basketball, to help them have a chance at winning their freedom."
"1996-11-22",742.75,748.73,742.75,748.73,748.73,525210000,"^SPX","Jingle All the Way","1996","Adventure, Comedy, Family","89 min","Brian Levant","Randy Kornfield","Arnold Schwarzenegger, Sinbad, Phil Hartman","PG",5.8,34,"122,755","2 wins & 4 nominations total","$60,592,389","United States","English","Howard Langston, a salesman for a mattress company, is constantly busy at his job, and he also constantly disappoints his son, Jamie. After he misses his son's karate exposition, he tries hard to come up with a way to make it up to him. Jamie says he all he wants for Christmas is an action figure of television hero Turbo Man. Unfortunately for Howard, it is Christmas Eve, and every store is sold out of Turbo Man figures; now Howard must travel all over town and compete with everybody else including a mail man named Myron to find a Turbo Man action figure, and to make it to the Wintertainment Parade, which will feature Turbo Man."
"1996-11-27",755.96,757.3,753.18,755,755,377780000,"^SPX","101 Dalmatians","1996","Adventure, Comedy, Crime","103 min","Stephen Herek","Dodie Smith, John Hughes","Glenn Close, Jeff Daniels, Joely Richardson","G",5.7,49,"119,306","Nominated for 1 BAFTA Award3 wins & 10 nominations total","$136,189,294","United States, United Kingdom","English, Spanish","After a wild chase in the bustling streets of London, struggling computer game author Roger (Jeff Daniels) and his male Dalmatian, Pongo - by a welcome twist of fate - are dragged into St. James Park and meet with charming fashion designer Anita (Joely Richardson) and her female Dalmatian, Perdita. Soon, one thing will lead to another, and before they know it, Roger and Anita will get married and the adorable Perdita, pregnant. However, their short-lived joy is disrupted when Anita's glamorous but horrible boss, Cruella DeVil (Glenn Close), dognaps the innocent puppies with the intention of making a luxurious coat with the dogs' fabulously spotted fur. Eventually, along with Perdita's fifteen puppies, Cruella will manage to bring the total to the staggering number of ninety-nine Dalmatians; nevertheless, are the cute little puppies as helpless as they look?"
"1996-11-27",755.96,757.3,753.18,755,755,377780000,"^SPX","The Crucible","1996","Drama, History","124 min","Nicholas Hytner","Arthur Miller","Daniel Day-Lewis, Winona Ryder, Paul Scofield","PG-13",6.8,75,"41,295","Nominated for 2 Oscars. 4 wins & 29 nominations total","$7,343,114","United States","English","A small group of teen girls in 1692 Salem, Massachusetts caught in an innocent conjuring of love potions to catch young men are forced to tell lies that Satan had invaded them and forced them to participate in the rites and are then forced to name those involved. Thrown into the mix are greedy preachers and other major landowners trying to steal others' land and one young woman infatuated with a married man and determined to get rid of his innocent wife. Arthur Miller wrote the events and the subsequent trials where those who demanded their innocence were executed, those who would not name names were incarcerated and tortured, and those who admitted their guilt were immediately freed as a parable of the Congressional Communist witch hunts led by Senator Joe McCarthy in 1950's America."
"1996-12-13",729.33,731.4,721.97,728.64,728.64,458540000,"^SPX","Jerry Maguire","1996","Comedy, Drama, Romance","139 min","Cameron Crowe","Cameron Crowe","Tom Cruise, Cuba Gooding Jr., Renée Zellweger","R",7.3,77,"296,619","Won 1 Oscar. 26 wins & 41 nominations total","$153,952,592","United States","English, American Sign ","Jerry Maguire (Tom Cruise) is a successful sports agent. The biggest clients, the respect, a beautiful fiancée, he has it all. Until one night he questions his purpose. His place in the world, and finally comes to terms with what's wrong with his career and life. Recording all of his thoughts in a mission statement, Jerry feels he has a new lease on life. Unfortunately his opinions aren't met with enthusiasm from his superiors and after dishonorably being stripped of his high earning clients and elite status within the agency, Jerry steps out into the sports business armed with only one volatile client, Rod Tidwell (Cuba Gooding, Jr.), and the only person with belief in his abilities, Dorothy Boyd (Renée Zellweger), with the impossible task of rebuilding what he once had. Along the way, he faces the harsh truth which he'd ignored in the past and a host of hardships that he'd never faced before."
"1996-12-13",729.33,731.4,721.97,728.64,728.64,458540000,"^SPX","Mars Attacks!","1996","Comedy, Sci-Fi","106 min","Tim Burton","Len Brown, Woody Gelman, Wally Wood","Jack Nicholson, Pierce Brosnan, Sarah Jessica Parker","PG-13",6.4,52,"249,471","3 wins & 19 nominations total","$37,781,197","United States, Japan, United Kingdom","English, French","It is a normal day for everyone, until President of the United States James Dale (Jack Nicholson) announces Martians have been spotted circling Earth. The Martians land and a meeting is arranged, but not everything goes to plan, and the Martians seem to have other plans for Earth. Are they just misunderstood beings or do they really want to destroy all of humanity?"
"1997-01-15",768.86,770.95,763.72,767.2,767.2,524990000,"^SPX","Lost Highway","1997","Drama, Mystery, Thriller","134 min","David Lynch","David Lynch, Barry Gifford","Bill Pullman, Patricia Arquette, John Roselius","R",7.6,53,"159,450","4 wins & 6 nominations total","$3,726,792","France, United States","English","Fred Madison, a saxophonist, is accused under mysterious circumstances of murdering his wife Renee. On death row, he inexplicably morphs into a young man named Pete Dayton, leading a completely different life. When Pete is released, his and Fred's paths begin to cross in a surreal, suspenseful web of intrigue, orchestrated by a shady gangster boss named Dick Laurent."
